iter	Passed	Remaining
462	759	880
463	760	878
464	761	876
465	762	874
466	763	871
467	764	869
468	765	866
469	766	864
470	768	862
471	769	860
472	770	858
473	771	855
474	772	853
475	773	851
476	774	849
477	775	846
478	776	844
479	777	842
480	778	839
481	779	837
482	780	835
483	781	833
484	782	831
485	783	828
486	784	826
487	785	823
488	786	821
489	787	819
490	788	817
491	789	815
492	790	812
493	791	810
494	792	808
495	793	806
496	794	804
497	795	801
498	796	799
499	797	797
500	798	795
501	800	793
502	801	791
503	802	789
504	803	787
505	804	785
506	805	782
507	806	781
508	807	778
509	808	776
510	809	774
511	810	772
512	811	770
513	812	768
514	813	766
515	814	764
516	815	762
517	816	760
518	818	758
519	819	756
520	819	753
521	820	751
522	821	749
523	822	747
524	823	745
525	824	743
526	825	741
527	826	739
528	827	736
529	828	734
530	829	732
531	830	730
532	831	728
533	833	727
534	834	725
535	835	722
536	836	720
537	837	719
538	838	717
539	839	715
540	841	713
541	841	711
542	843	710
543	845	708
544	846	706
545	847	704
546	849	703
547	850	701
548	851	699
549	852	697
550	854	696
551	855	694
552	856	692
553	857	690
554	858	688
555	859	686
556	861	684
557	862	683
558	863	681
559	864	679
560	865	677
561	866	675
562	867	673
563	869	672
564	870	670
565	871	668
566	872	666
567	873	664
568	875	662
569	876	661
570	877	659
571	878	657
572	879	655
573	881	654
574	882	652
575	883	650
576	884	648
577	885	646
578	886	644
579	888	643
580	889	641
581	890	639
582	891	637
583	892	635
584	893	633
585	894	632
586	895	630
587	896	628
588	897	626
589	898	624
590	899	622
591	900	620
592	901	618
593	902	616
594	903	615
595	904	613
596	905	611
597	907	609
598	908	607
599	908	605
600	909	604
601	910	602
602	911	600
603	912	598
604	914	596
605	915	595
606	916	593
607	917	591
608	918	590
609	919	588
610	920	586
611	922	584
612	923	582
613	924	581
614	925	579
615	926	577
616	927	575
617	928	574
618	929	572
619	931	570
620	932	568
621	933	567
622	933	565
623	935	563
624	936	561
625	937	560
626	938	558
627	940	556
628	941	555
629	942	553
630	943	551
631	944	550
632	945	548
633	946	546
634	947	544
635	948	543
636	950	541
637	951	540
638	952	538
639	953	536
640	954	534
641	956	533
642	957	531
643	958	529
644	959	528
645	960	526
646	961	524
647	962	522
648	963	521
649	964	519
650	965	517
651	966	515
652	967	513
653	968	512
654	969	510
655	970	508
656	971	507
657	972	505
658	973	503
659	974	501
660	975	500
661	976	498
662	977	496
663	977	494
664	979	493
665	980	491
666	981	490
667	982	488
668	984	486
669	985	485
670	986	483
671	988	482
672	989	480
673	990	479
674	992	477
675	994	476
676	995	474
677	996	473
678	998	471
679	999	470
680	1000	468
681	1001	467
682	1002	465
683	1003	463
684	1004	462
685	1006	460
686	1007	459
687	1009	457
688	1010	456
689	1011	454
690	1013	453
691	1014	451
692	1015	449
693	1016	448
694	1017	446
695	1019	445
696	1020	443
697	1021	441
698	1022	440
699	1023	438
700	1024	437
701	1026	435
702	1027	434
703	1028	432
704	1029	430
705	1030	429
706	1032	427
707	1033	426
708	1034	424
709	1035	422
710	1036	421
711	1037	419
712	1038	418
713	1039	416
714	1041	414
715	1042	413
716	1043	411
717	1044	410
718	1046	408
719	1047	407
720	1048	405
721	1049	404
722	1050	402
723	1051	400
724	1052	399
725	1053	397
726	1054	395
727	1055	394
728	1057	392
729	1058	391
730	1058	389
731	1059	387
732	1060	386
733	1061	384
734	1062	383
735	1063	381
736	1064	380
737	1065	378
738	1066	376
739	1067	375
740	1068	373
741	1069	371
742	1070	370
743	1071	368
744	1072	367
745	1073	365
746	1074	363
747	1075	362
748	1076	360
749	1077	359
750	1078	357
751	1079	356
752	1080	354
753	1081	352
754	1082	351
755	1083	349
756	1084	348
757	1085	346
758	1086	344
759	1087	343
760	1088	341
761	1089	340
762	1090	338
763	1091	337
764	1092	335
765	1093	334
766	1094	332
767	1095	331
768	1096	329
769	1097	327
770	1098	326
771	1099	324
772	1101	323
773	1102	321
